#,Company,Contact,Phone,Industry,Stage,Tier,Pain Points,Notes
1,North Trail Chiropractic Clinic,,(239) 261-5222,Chiropractic,Qualified,2,,Phone Blitz 2026-03-24 | Website: http://www.northtrailchiropractic.com/
2,Dolphin Cooling,Lauren,(239) 596-9044,HVAC,Qualified,1,,"Cold email sent 2026-03-23: Dolphin Cooling — quick thought
[Research] HVAC comp"
3,Complete Care Air,Scott Laatsch,(239) 207-7767,HVAC,Qualified,1,,Phone Blitz 2026-03-24 | Website: https://www.completecareair.com/
4,A&Y Auto Service LLC,,(239) 467-1152,Auto,Qualified,1,,"[2026-03-24] Call: Language barrier — Spanish speaker. Valid lead, 5-star rating"
5,PlumbingPro Naples,Zach Johnson (Service Manager),(239) 212-1120,Plumbing,Qualified,1,,
6,RoofProspect AI (Grant Construction),Grant (Owner),(239) 595-2257,AI / PropTech,Qualified,0,,NOT a roofing contractor. Runs RoofProspect.ai + BlueCollarExits.com — AI lead g
7,Tru Glo Medspa,Jessica,(239) 919-7009,Med Spa,Qualified,0,,Gave email on cold call. Said interested but not ready for 2-3 months. Phone-onl
8,Cloud 9 Med Spa Naples,,(239) 253-1325,Med Spa,Qualified,0,,"Cold call. Interested but key objection: AI removes human touch, clients want re"
9,Von & Co Medical Aesthetics Studio,Rachel Hayes,(239) 448-3897,Med Spa,Qualified,0,,"In-person follow-up — Rachel interested, email sent"
10,Jepsen Chiropractic Wellness Center Inc,Dr. Jepsen,(239) 465-0656,Chiropractic,Qualified,0,,Receptionist was dismissive/uncooperative. Got email after persistent follow-up.
11,Gallant Real Estate llc,Debbie,(239) 963-4377,Real Estate,Contacted,2,,Auto-synced from outreach. Subject: Gallant Real Estate llc — evening buyer and 
12,Carney Quality Construction,John,(239) 574-1965,Auto,Contacted,2,,Auto-synced from outreach. Subject: Carney Quality Construction — estimate reque
13,White Sands Realty,Mark,(239) 417-1115,Real Estate,Contacted,2,,Auto-synced from outreach. Subject: White Sands Realty — evening buyer and selle
14,A. Vernon Allen Builder,Andy,(239) 261-5300,Auto,Contacted,2,,Auto-synced from outreach. Subject: A. Vernon Allen Builder — estimate request r
15,ReRoute Americas,Danielle,(833) 773-7688,Auto,Contacted,2,,"Auto-synced from outreach. Subject: ReRoute Americas — missed call follow-up
[Re"
16,Jimmy P's Butcher Shop & Deli,Jimmy,(239) 643-6328,Restaurant,Contacted,2,,Auto-synced from outreach. Subject: Jimmy P's Butcher Shop & Deli — missed call 
17,Journeys 360 Travel,Preeti,(239) 829-8299,Auto,Contacted,2,,"Auto-synced from outreach. Subject: Journeys 360 Travel — missed call follow-up
"
18,"AIR BAR BLOWOUTS & EXTENSIONS, LLC",Tim,(239) 592-4556,Auto,Contacted,2,,"Auto-synced from outreach. Subject: AIR BAR BLOWOUTS & EXTENSIONS, LLC — missed "
19,Ridgway Bar And Grill,Wynne,(239) 262-5500,Restaurant,Contacted,2,,Auto-synced from outreach. Subject: Ridgway Bar And Grill — reservation and inqu
20,Hudson Park Interior Design,Deriggi,(239) 326-9236,Auto,Contacted,2,,Auto-synced from outreach. Subject: Hudson Park Interior Design — missed call fo
21,Simple Beauty Studio,Kiley,(239) 431-5339,Salon,Contacted,2,,Auto-synced from outreach. Subject: Simple Beauty Studio — appointment inquiry r
22,Robert of Philadelphia Salons,Robert,(239) 263-3122,Salon,Contacted,2,,Auto-synced from outreach. Subject: Robert of Philadelphia Salons — appointment 
23,Poetic Beauty Salon Suites,Jeannette,(239) 572-0964,Salon,Contacted,2,,Auto-synced from outreach. Subject: Poetic Beauty Salon Suites — appointment inq
24,Olde Naples Animal Wellness Center,Anne,(239) 331-3345,Medical,Contacted,2,,Auto-synced from outreach. Subject: Olde Naples Animal Wellness Center — new pat
25,"Purely You Spa, Naples FL",Jennifer,(239) 331-8266,Auto,Contacted,2,,"Auto-synced from outreach. Subject: Purely You Spa, Naples FL — missed call foll"
